Client Name,Feature or part of Bridge this feedback is related to,What is the problem the user is experiencing?,Why would fixing this problem be valuable to this client?,Notes
Western Governors University ,Live Trainings,"The instructor field is somewhat helpful, but when you add an instructor to a live training, it does nothing to provide information on that session,, so clients all over have had to learn, in a separate step, to add the instructor to the session to make sure they get some form of notification about the course iteself.   While it would be ideal to add to that instructor's role a permission to also edit just that session,  WGU would consider it amazing to automatically add that user to the session (if they were not external) without making it a manual step. ",It would provide the instructor important information on their session without requiring someone else to help the process along. ,
Bridge 4 Bridge,Skills Assessments,"I want to be able to submit skill feedback after the deadline has passed. It's not that I don't want to give feedback, I just wasn't able to get to it in the 2 week window.","My feedback is important, but I just wasn't able to get to it in the selected timeframe. ",
"Altec Industries, plus others",Live Trainings,There is no branded options for TEAMS in the Teleconference drops down - They work with Office 365 and have to explain to use the Other option.,"Rather than hit the Other option, the client would like to have Teams as an option. With all the Teleconference options listed in live trainings, it would be nice to have a Teams on that list.",
Bridge 4 Bridge,Skills Assessments,"When completing a skill assessment, I am presented with the Skill Name, but I don't see the definition of the skill anywhere during the assessment. Having that display would be very helpful as I provide feedback. ",It helps ensure all evaluators are working from the same definition when providing feeback,
Bowling Green State University,Notifications,When specific notifications are disabled OR if the users are unsubscribed from notifications the view notifications are will continue to show things that have not gone out. e.g. disabling the Welcome email option and then creating a new user will show that the welcome has gone out when viewing notifications but it doesn't actually go out.,Would help prevent confusion on what is actually going out and what is not.,
En Route Coaching,Live Trainings,Reminder emails only go out once for a Multipart Live Trianing. Confusing for users when it may be a 2 day training since the reminder email only mentions one date and not the fact that it is scheduled for two-days.,Easer for users to understand and stop a significant amount of emails from users to admin about this.,
Bowling Green State University,Homepage,"If a Category is empty and is added to the Learning Library, that category will not show if there is no course or anything added to it.  BGSU likes this.  This same logic does not exist for Recommended section where Categories by default show.   BGSU published many categories to All Learners in the Library for when there was content added but those Categories STILL show in My Learning under Recommended and therefore create a bad user experience.  With the size of BGSU, they just want it to behave like they do in the library. ","it would fix the User experience of coming into an empty category.  Categories are forced into the recommended section by the software, so there is no control over it. ",
Ignite Nation,Subaccounts,"Whenever they get a new school to work with they have create a new subaccount and them manually add all the courses. categories, and settings to the subaccount. This is really tedious when you have to create multiple subs all with the same settings.",If there was a way to duplicate a subaccount upon creating a new one. I know this feature would help multiple clients out (Public Safety Group and Haberfeld are two other examples with this request) and they set up subs for all their clients and they use the same courses in each. ,
GoHealth,Checkpoints,"GoHealth uses checkpoints heavily. They create checkpoints in their sandbox first and then, when they are ready, want to move them into the root and are frustrated that they can't export like they can with courses. They end up needing to copy and paste/re-create the checkpoint in their main instance.",Cut down on manual work,
Bridge 4 Bridge,Skills Assessments,"When an assessor skips a skill, the results page reads the ""Skip"" as a ""zero."" Even though it doesn't pull your average down, it's disconcerting because it appears as though you were assessed with low mastery. ",It made me sad. I'd like the likert bar to be empty if someone skipped that skill because the current behavior leads me to think my colleagues are harsh and overly-critical.,
Regency Management Services,1on1s - Performance Conversations,"Regency Management Services has two types of employees, hourly and salaried, that do PCs on different schedules. They want to choose which group PCs go out to, similarly to how you can choose a distribution group for engage surveys. They like the notifications, but it's too hard to manage dismissing/completing PCs for half the company one month and the other half another month. ",Better user experience and data tracking for their PC groups,
Business Wire,Reporting,"Sign In Report | Currently the sign in report surfaces Average Length. However we actually are pulling the median length. This does not make any sense. 

Also, for Count: multiple sign ins are included (and uses deleted users), the admin thought that count would be distinct log ins for that day. 

Percent: does use distinct users 

Overall, this report is pretty confusing and usually requires explanation by the CSM. What they want to know is, on any given day, how many people signed in and for on average how long did they stay. ",Understanding reports shouldn't be difficult and the data we present should match what it is labeled as. ,
Shetland Islands Council,Navigation,Our client would like to see the secondary navigation pane be less wide when you click on certain functionality as it takes up too much of the screen on occasions rather than sliding back or disappearing once you're in the screen of choice where you may be working.,Aesthetically will look better - less chunky on the screen - and be less distracting when working in the relevant screen.,
Sarah Jane Grant,Skills Assessments,It would be so helpful to see the descriptions of skills/competencies when you go back in to review your assessment results.,This would help to enrich the interpretation of the results data and provide a more meaningful conversation for the individual with the manager. It will also act as a reminder as to the description of what individuals were responding to.,
Sarah Jane Grant,Skills Assessments,"In skills assessment, is it possible to create either a drop down system of feedback like we have in CS pulse, if a respondee has scored someone with a low score? Or not allow them to move on to the next screen if they have scored someone a low score before providing some helpful information/tips on how to improve?","Feedback is not as valuable if it's just a marker on a scale with no helpful comments for improvement. Particularly if the assessment is anonymous. Having this functionality may help to support our clients to use the tool more and continue to help to make the interpretation of the data better, easier and more useful for the individual and the manager.",
WGU,Checkpoints,"Managers, Author and Admins are unable to VIEW evidence (not approve) without being a designated approver.  If they. could, this could be useful in collecting course feedback, interactions, and other attachments in a more efficient manner","Checkpoints could be better used to capture evidence that can be visualized by the authors, trainers or managers without having to masquerade into each profile to view what has have submitted.",
Phoenix Technology Services,Notifications,"When the notification setting for ""Course Updates"" is disabled, the associated Publish and Notify option in the Author menu does not change its text to indicate that no notification will go out. As far as the user can see, the system behaves the same way whether Course Update notifications are enabled or not.","As Authors are typically using this feature and they cannot edit notifications, they have no way of knowing if Course Updates is enabled or not and won't know if their enrolled users are getting the notification that their enrollment has been reset with the publishing of the course.",
Sarah Jane Grant,Skills Assessments,"It would be a great feature to be able to amend a skills assessment once it had been sent out, to include adding additional responders and also skills/competencies that may have been forgotten first time round.","This would help to make the tool more flexible for our clients to use, as if you forget to add someone as a responder, and the assessment is anonymous, you then have to wait for the next round of assessments before you can get their anonymous feedback/contribution.",
Tulane,Mobile App,Can't use the Mobile App as they use CAS for SSO. ,Help to make the access to Bridge a little easier and provide regular access to Staff and Faculty at their school to participate Compliance training and HR professional development programs.  Client is going through renewal discussions.,
Springs Window Fashions,Programs,I want the option to not have a gradient to the images I upload as a program or course cover slide,I have specific branding that I want to maintain and the color scheme for the gradients is not in it ,
TCF/Chemical Bank,Reporting,"Checkpoint Reporting: We need the status “Submitted” added to the current statuses of “Assigned” and “Completed”.  Without a submitted status we don’t know if an employee has submitted a checkpoint and it is waiting on action from management, or if they haven’t taken any action at all.","We have created eight  Strategy for Success Programs in Bridge for Wealth Management and accurate reporting on the multiple checkpoints is critical.  The reports will be shared with senior leadership.  If this status can’t be added, I will manually have to look at each “Assigned” checkpoint to see what the true status is.  With over 100 team members, that could take quite a lot of time!",
Knowbe4,Courses,"Knowbe4 using our Embedly integration to show their users their company documents within courses. With Embedly you used to be able to view the doc right within the course and navigate through it without having to leave Bridge. Apparently Embedly made an update so doc.google.com links don't work and when you change them to drive.google.com they only show you a preview, they are not embedded they way they used to be. This is causing major issues for this client and they have hundreds of documents linked in Bridge with the docs.google.com URL.",Either reaching out to Embedly to see if this can be adjusted or to get another vendor who will show the document right within Bridge.,
GoCanvas,User Management,"This client is churning because of product related issues. When we asked why they were leaving they answered the message below.

""GoCanvas has signed with Cornerstone and we will be leaving Bridge. Our agreement with Bridge requires 30-days notice which means official notification in July. Your assistance with that process is greatly appreciated. Please share exactly what is required. Thank you! 

Thanks for your time and effort. Bridge did not have some of the key integrations we were looking for: ability for team members to post own learning, ability to integrate recognition, transparency of goals.""","Having the ability for team members to post own learning, ability to integrate recognition, transparency of goals.",
American Embassy School,Courses,Can't view Embedded Google docs - shows an error. Google Sheets shows a preview link. Google slides works. Have informed client that it's on Embedly.  ,Allow to import and show their learners their Google content easily in Bridge.,
Bridge4Bridge,Skills Assessments,The 500 character limit on Feedback is too little.,"So that when giving feedback, it is possible to fully express what one wants to say.",https://instructure.atlassian.net/browse/BRD-1707
University of North Texas System-Bridge,Programs,"Add another column in Programs export with the names of each of the completed steps (courses, checkpoints, etc.). Currently, an admin has to pull this by user to find which steps in a program have been completed.  Screenshot suggestion here: https://cl.ly/22876be54da2",This would enormously cut down on the time it takes to pull this data manually.,
University of North Texas System-Bridge,Reporting,Client has to pull data dump to do any reporting on custom fields.   Screenshot : https://cl.ly/71cf45114241,If we could pull client created custom fields into the data deep dive within insights this would limit the need to pull full data dumps regularly and cut down on time for admins enormously.,
University of North Texas System-Bridge,Live Trainings,Add the ability to export live training session data by session rather than filtering the overall export. Screenshot here: https://cl.ly/7c93de1ac981,This would save time for the client.,
University of North Texas System-Bridge,Live Trainings,"Adding a back button when user/admin has gone into a live training.
quick video explanation here: https://cl.ly/cda9c791d3d6",This would make navigation faster and easier for all users within Bridge.,
Willis Towers Watson,Live Trainings,"We’ve run into a few situations where we scheduled a Live Training and enrolled learners into a session.  They get a notification of their enrollment but if we have to change the time or something after they are enrolled, the system doesn’t appear to send a notification or have an option to send a notification for that on Live Training.  I see that we have the option on courses that the system can send a notification if something changes (Course Update option) but not for Live Training.  Is this something we are currently working on?",This would help notify the users if changes were made to a session date or link.,
AvidXchange,Connect/Directory,"They would like to be able to search for employees in a certain job title or department, not just by name or by skill community. If they search ""CSM"" they would like to see all CSMs come up in case they can't remember someone's name, but remember their department. ",more connection,
Public Safety Group,Sub-accounts,"""One major problem I am running into. Is that each time I set up a sub-account I will have to re-build all my categories into the sub-account, then go back in the author section and then publish each course to the account. Why can’t this all be pushed down to the sub-account.""

 ",Help him push content to the sub-accounts more easily.,
SGWS,Live Trainings,"The notes field in live training sessions are never exposed in the Bridge UI for a learner.  If a learner misses it in the email notifications, the information is lost.  This has to be a defect that was overlooked.","it would work the way one might expect Notes to communicate important. details and allow ALL LEARNERS to see these notes, not just those with email. ",
Vera Whole Health,Engage,"It would be great in the Engage ""final check"" to have a full survey view where we could double-check that all Likert scales were consistent with any previous surveys and see from a high level which questions have free text turned on, etc. ",Any changes we make to the default Engage survey question format will cause customers to need to manually edit every question so they'll be consistent with their last survey.,
GoHealth,Reporting,"When looking at a course summary, the pie chart shows the % of people not started, completed, in progress, or permanently failed. ""In progress"" accounts for people who failed a course, but still have opportunities to try again. Once that learner runs out of limited attempts, they move to the ""permanently failed"" %. GoHealth would like to see, of those who are ""in progress"" how many failed and are on their second attempt? There is currently no way on the UI to tell that a learner failed previously, you have to export enrollments to see that info. ",They would be able to at-a-glance see more accurate attempt data for their learners. ,
SpaceX,Live Trainings,Historical Uploads of Checkpoints. If clients could upload historical completion dates with a CSV like they can for courses it would solve this problem (screenshot illustrating here https://cl.ly/eb7731bf5b7f)- would also be helpful across all learning items (checkpoints and programs) as well.,"
SpaceX sets up Live Training (with multiple sessions) by location due to the volume of people in session and occasionally they are in person. Right now people are being manually enrolled in sessions, but it may help them scale if we did enrollments by Smart Groups. It is currently hard for them to manage removing users manually, but do have access to CSVs with this information.",
SpaceX,Programs,"Product Feedback- Have ""and/or"" as options for programs

Would be helpful to have the option to choose from one of two options in a program.  For example a program could consist of:

Course 1
Course 2
Checkpoint
Either a Live Training or Manager Approved Checkpoint


Another example would give users the option to select one of three Live Training Courses.","This could appeal to different learning styles and allow employees to either meet with their manager, do an extra course, or go to a live session.  It would also be great to feed enrollments/completions from live trainings into a program.",
SpaceX,Courses,"Product Feedback - LOA, Rehires, FMLA, etc.

Currently, if an employee goes on LOA/FMLA, the system temporarily deletes their profile. When the employee comes back from LOA, they become overdue for courses that would have been due while they were away.  

Potential solution- Besides a manager/admin manually adjusting these due dates, it would be nice to have this as an admin setting that could be adjusted by course to take into account how long they were out and adjust due dates for them","The leadership team at SpaceX looks at overdue very seriously and this takes a lot of manual work for managers and our main admin.  Leadership pulls these reports monthly (minimum)
",
Altura,Reporting,"Across their ExtEnt base; Customers frequently need a configurable ""completed learners report"" for their records, as well as be able to share and schedule a report creation/delivery process to the appropriate admins","With many levels of reporting there is a need for flexibility to ""slice, dice, save, share, and schedule.""  This, across hundreds of customer accounts, creates a significant burden on the administrative team to address with overly complicated API scripting; or having to incur costs to ask Bridge for CustDev solutions for what is considered a basic reporting need. ",
NextStep Networking,Courses,They would like to offer decimal/fraction of CEU credits.,Not all courses are worth a whole credit. This would give them the ability to differentiate courses more. ,
NextStep Networking,Courses,They would like to offer unscored quizzes to their learners. Some of the questions they want to ask don't have a right or wrong answer. They want to see the cumulative feedback in the quiz statistics,It would give them the ability to ask questions within courses that are not pass/fail. ,
Fulcrum Management Solutions Ltd.,Courses,"""We are trying to find innovative ways to use the Bridge authoring tool but the insert of images is not great cause it requires a lot of manipulating before uploading (decreasing of the size for example) and it doesn't have the interactive features""",Easier for client to manipulate images in courses.,
NextStep Networking,Programs,They would love the ability to have a table of contents on the left hand side as people go through a course or a Program so they know whats coming up and what they have completed. I have heard this from a few clients.,This would give the learner insight into what the courses and programs consist of. They want to be able to easily go back to a slide in a course if they need to look back at some info but the way things are set up now they have to search through the courses blindly. ,
Transaction Data Systems,Reporting,"""There is no current insights report that includes the time taken for live trainings. Instead I have to manually complete the follow steps which within this support outreach. The amount of work it will take to configure this manually and comparing reports is nothing my team has time to do, but is necessary for us to be able to tell our executive leadership team how many hours we’ve invested/completed per employee, group, or team. It must include live trainings as that is training time for us. We have a training hourly goal per year and without this report we have no way to access our goal. 

We also would like to have a way that a user can look up their own total committed time to training efforts for courses, programs, and live trainings. Instead, they are left with only names of the content they have completed under their my learning dashboard. We need users to be independent and in control of their coursework.""",It would make it significantly easier for them to track the amount of hours learners have completed in live trainings which they need to track for their company. It would also be great if this information was visible to the learners so that they know how much more training they need to complete to hit their hours,
Tahirih Justice Center,1on1s - Performance Conversations,They would like visibility of Performance Conversations to be extended one level up (i.e. the manager of the manager would be able to see a completed PC agenda),They particularly like the idea of goal sharing one level up in the organization,
Tahirih Justice Center,User Management,"They would like the ability to support dotted-line managers, especially for Performance Conversation purposes. Their idea involves giving ""read-only"" or ""commenting"" access to someone not on your team for PC agendas.","Many employees have dotted-line managers that are not assigned as the employees' managers in Bridge. However, these dotted-line managers can, at times, be the right people to hold Performance Conversations with these employees. ",
Heinemann,Skills Assessments,Increased character limits to skill definitions and scale descriptors,"From the admin: Ultimately, we are trying to provide visual reminder/instructions for them to provide comments if they have rated “1” or “3”.",
Brewer Science,Checkpoints,"Employees cannot create their own checkpoints. This is a problem because Employees attend one-off external training. Sometimes, trainings include a certification. (E.G. forklift certification). Brewer logs trainings those using Checkpoints currently because: a) users upload their evidence (forklift certificate) which allows the HR/learning to track completion + evidence b) Checkpoints allow manager approval (which allows the manager (not HR, not employee) to decide if a training is sufficient for elective credit

Checkpoints work really well to meet both of these needs for logging our external training, but there is an extra step because employees have to send the details to the HR team first and then they enter them before they are sent to the manager. ","If we could get the ability to have employees add Checkpoints themselves, it would skip that extra step and things could get logged more quickly. Additionally, it would help drive more traffic to Bridge so that being in the system is just another part of their job. The more things we can do to get them in Bridge, the more comfortable they are and the more natural it is when they have to be in Bridge.",
NextStep Networking,Live Trainings,The client would like Google Meets to be one of the available web conference tools in the Live Training. ,Using other is not as seamless as the other options for the end users. With Google Meets the users have to launch the meeting from their calendar. They can't from their My Learning page.,
NextStep Networking,Notifications,User password email notifications-- Is it possible for us to have the ability to send an email to all users that have not logged in vs. contacting the helpdesk? ,Give a bit more autonomy to the client and take this off support's plate,
Disney Animation Studios,Learning Library,Knowsmore is Disney Animations video library (the Learning LIbrary) where graphic designers and animators have available courses that contain Studio videos on a variety of great topics pertinent to their jobs .  They currently have no means to endorse videos that they find helpful to other colleagues.,"This is their primary use case for Bridge - optional courses.  
It would help drive more users to the content.   ",
OneShare Health,Skills Assessments,They would like Admins to be able to request Skills Assessments on behalf of employees in bulk.,They have a strict appraisal process and want to ensure that employees are being assessed for the correct skills and by the intended peers/manager. They haven't used Performance features in Bridge because of the lack of Admin controls.,
OneShare Health,Reporting,"Would like more reporting in Feedback (i.e. reporting on incomplete assessments, separate scores between assessors rather than an average)","Manager's scores on Feedback are used in the Performance Review and if it is averaged with the peer scores, it cannot be separated out.",
Empire Today,Programs,"new Empire Today employees have to complete a 66 step program in order to be paid and officially be hired. There are many practice exercises in this program and some employees are figuring out that they can stay within practice and complete all exercises rather than going back into Bridge to enter the exercise. This is causing Bridge to collect incorrect completion data and users are getting stuck in the program and are delayed in getting paid. The admins know this is a user error, but it's very difficult to stop. They wish that there was no way to go back to the group within practice and that users were forced to return to Bridge to enter another exercise.","Accurate reporting, trust that users can move through the program autonomously without breaking it. ",
Gaylor Electric,1on1s - Performance Conversations,"They do PCs on an anniversary basis, so Bridge's design of ""all or nothing"" when scheduling PCs doesn't work for them. Some managers have over 100 employees, so the only realistic way to conduct them is to spread it out over the year. They wish that PCs were able to have a monthly setting where managers with employees who have an anniversary that month are notified. For example, at the beginning of every month, managers would get an email saying ""Lyndsey has a PC due by the end of the month.""  They like the PC design, but it feels unusable to them due to this setting.",They would be able to conduct PCs on Bridge and this setting is what's stopping them.,
FedCap Employment Ltd,Courses,"The user would like the ability to change text color, size and font. They also would like to be able to place pictures or videos not just in the center of the page but also on one side so that they can add text next to the pic/vid. Overall they would like more functionality when creating courses.",It would brighten up the content they are sharing. They feel that when it's all the same the learners lose interest and quickly click through the courses rather than actually learning the content.,
MotivHealth (HSA),Admin Tools,MotivHealth would like to have Bridge integrate with Microsoft Teams in the same way it integrates with Slack.,Notify users of Bridge items through another platform.,
Catalant,Author,"Would like more filtering options within the Author application to help find courses, programs, etc. in a large content library",They have several authors so their content library is growing and becoming more difficult to search,
Tyro Payments,User Management,"They want a way to temporarily suspend users accounts. Marianne said, ""we have a number of employees on extended leave at the moment, is there a way to suspend them temporarily so that when we assign a course to the entire team it isn't assigned to them?"" ","Currently you can terminate a user and restore them when they come back. But if there was a way to essentially ""freeze"" an account for some time so that they don't get assigned any content while they are out and they are not assigned the content when they are restored would be really helpful. The other option is to remove the users from the groups they are in so they are not assigned content. The problem is if you kept the user in the system and removed them from their groups, it will make all content they are enrolled in optional. There is no perfect way to place a user on leave in Bridge. ",
Bluegrass Cellular,Goals,"As a Manager, I can assign employees Goals. When I view one of these Goals, I see an ""Edit Goals"" button on the top right corner. This button is a dead-end and has no purpose.","It's confusing and seems like it's broken and unintended, leading users to be discouraged from using Goals.",
Willis Towers Watson,User Management,"When I do a user import, I can view an error report to see if there were issues. When I do a mass learner import, sometimes I will upload learners via CSV and let’s say I have 775 people in the import but only 774 were enrolled. It will tell me 1 person was unable to be enrolled but doesn’t tell me who or why. 
 
Is there somewhere for me to view this information? Right now I’ve exported the enrollments and did a manual compare between the original CSV file.",This would help us and clients better identify errors in the export.,
Maven Wave,Talent Review,"They have created names and descriptions for each of the 9 boxes in Talent Review. These classifications allows managers to easily determine where an employee belongs on the grid. For example, the top right box is called ""Rockstar"" - They'd love the ability to show that name on the boxes in Bridge to minimize referencing back and forth between the Google sheet where it currently is and Bridge.","The more we can minimize the use of Google docs at Maven Wave, the more we can prove the value of Bridge. Their users feel the software isn't effective when they need to use other tools to make it work.",
Altec Industries,certificates,"Altec would like more options for customization or course certificate, esp the ability to show External CEU credits.  ",Help them to drive an incentive program among their employees.,
Altec Industries,Live Trainings,"Multi day live trainings are no clear to either side what date range they actually are for.  From an admin side, the card only displays the date range if it's got over 8 parts.  From the learner side, when registering, the learner needs to expand a  right side caret to get the detail, and it's often missed.  Email notifications can also be clearer.",Users would no longer erroneously register for an event they may not be able to attend due to its duration. ,
Ready Responders,Goals,"They would like the ability to set cycles/timeframes around Goals at the org level. This would allow them to easily report on current goals, clear/reset all goals at an org level when it's time to set Company, Team, and Individual Goals.","Without the ability to clear all Goals, Goals will continue to grow and there won't be a way to archive old/incomplete/expired Goals and data will get messy.",
SDI Services,Notifications,"""Our previous LMS provided the username in the email notification for training. I have had a lot of requests from the trainers of what their username is and why is it not in their training email notifications. It would be great if the training notifications had an automatic field that would put the username in the email notification as a reminder to the trainer.""",It would remind the users of what their username is for Bridge without having to ask Admin.,
Maven Wave,Talent Review,They would like Talent Review to not be visible in the navigation to anyone that hasn't been assigned as a Reviewer.,They are not having all their Managers participate as reviewers and do not want them to get confused by it. They also want to conduct this quietly without needing to tell Managers that aren't participating. They anticipate they will be asked about the feature and fear Managers will feel they're being judged behind their backs.,
Brewer Science,Courses,"We have several courses that recur annually. The current expire/re-enroll tool is based on the last time the learner completed the course. For example, if a training was assigned company-wide on June 1 and employees have 30 days to complete, then the next year, it will assign for those employees on different dates depending on when they completed. We typically allow 30 days so most of them will get a redeployment sometime in May or June to keep them in compliance. If someone is out on FMLA leave or a new employee starts in say, September, those people are then off-cycle. Because of the rolling deployment based on the completion date, everyone else also starts to be staggered. Eventually, everyone is different. 

This makes it difficult to monitor when courses will be deployed, which prevents us from staggering them so that some employees don't get overburdened at any one time. It also makes pushing updates to these courses difficult because it seems like someone is always actively enrolled in the courses.

What we would really like is the ability to say, ""Training X is always due on June 30"" instead of just scheduling them all for 30 day completion from the time of enrollment.","This would help companies maintain compliance and not require authors/admins to re-create courses with a unique enrollment date, which makes completion tracking through the years a challenge",
Brewer Science,1on1s - Performance Conversations,"There are frequent manager changes. When the employee has begun drafting their PC, and their manager changes these notes are not accessible to the employee. ","Employees would not ""lose"" their notes, nor have to burden HR with digging up their notes from prior conversations.",
Brewer Science,1on1s - Performance Conversations,"When a new manager is assigned to an employee, they may not have the context/relationship to deliver their PC, and it makes more sense for their Prior Manager to host this conversation. With their paper system, this was possible. It would be neat if PCs could be hosted with someone other than the manager in their hierarchy. ",It would allow for more flexible employee-manager relationships.,
Ready,Engage,They would like a feature built into the UI that allows Managers to plan based on the outcomes of an Engagement survey. ,This feature would give admins insight into how teams and departments are addressing their survey results.,
Multiplex Australasia,Reporting,Client would like to see the Date from data data (the numbers cause them to have to manually change the information before submitting to their HRIS). Also would like Checkpoints and Live Trainings added to the Insights tab since they need to report off those components. ,Easier to navigate within Bridge before diving into Excel CSVs.,
Granite Construction,Insights,"As a manager of other managers, I have *no way* to see just my direct reports learners assignment status at all.  There is no clear way to get a snapshot of where just those 13 learners are....and I have to see 3K users data - every report I pull provides me data on users several layers down.  An Admin would have to create a special group for just me to have access to independent of the MyLearners group created.",I'd want to go to Bridge to look at reports and I'd have useful data at my fingertips. ,
Gaylor Electric,Live Trainings,Gaylor wants to be able to assign continuing education credits to a live training. ,"They could give CE credits for items that earn them at their org, lots of which are live events. ",
Movement Mortgage,Courses,They'd like the ability to add a data field that would allow them to manually track a date that they followed up with an overdue learner.,"This allows for the organization to pull reports of training due date, status and any applicable follow up dates.",
Altec Industries,certifications,Certifications do not display any more info than course name and completions date.  Altec needs CEU credits (or even course duration) for their business to show proof of taking certain compliance course for auditors as they. are in manufacturing and safety is paramount.,"This would help with any Audit for employees to prove they've taken certain courses. While the ability for a user to. print. up their own transcript with this info will work, the certification would be ideal.  May other clients would like room to put more details into the cert. Including BCFS for auditing. ",
RMIT,Certifications ,RMIT needs more customization in their course and Live Training certificates - they need the expiration date to be exposed on it including other dates. ,The expiry will be needed for some of their compliance courses.  ,
Vivint,Admin Tools,"Vivint runs into the 20% deletion issue frequently with seasonal sales staff. They would like to be able to edit/customize the % at which this error appears. Also, they would like a notification trigger when this error does appear.",Save the admin team a lot of time on monitoring this issue while also not interrupting new hires from taking mandatory compliance training needed before selling.,
Embrace Home Loans,Checkpoints,"Because we do not have notifications when a course is complete, this client uses Checkpoints to notify admin when users have completed courses. Currently one of the Admins has 200 checkpoints to approve. He would love is checkpoints had an ""Approve All"" button",It would make the approval process much faster for them instead of having to individually approve each checkpoint. ,
Business Wire,Courses,"Ability to undo deleting a slide by accident, and/or an “are you sure” warning when about to delete a slide",improves the authoring experience ,
Business Wire,Courses,"We often have ideas to create matching questions for quizzes, and would love a way to do that! Where you have two columns of items, and need to match them to each other correctly.",Enhancing quiz type options ,
Safe Alliance,Courses,Client would like the ability to resize images in courses. ,Better functionality and customization in courses. ,
RigUp,Journeys,Customer very interested in Programs within Programs,Better training paths for employees. ,
RigUp,Courses,"Customer would love to see recommended courses/programs based on comprehension/categories/completion score. For example, anyone that gets under 70% on a course/skill is this auto enrolled or recommended to courses to improve that skill. So it auto triggers new courses for them to take and it auto assigns those courses depending on a learners knowledge/score. Customer has asked Lessonly in the past as well - knows it's not easy to do, but thinks it would set an LMS apart.",Better learning path for learners. More automated and tailored learning experience. ,
Altura,Reporting,Time Stamps are not included in the Completed Learner Report,"UK law has recently begun to crack down on tracking of hourly employee wages in HealthCare space (Altura's primary market), and not having this data included in the completed learner report is causing additional administrative burden to join multiple reports. 
With much of Altura's content being VIDEO, our accuracy of that data is also problematic (cust feedback line 24) with relation to this need",
ARCO Business Services,User Interface,"Customer would like the option to easily enroll learners through the UI based on hire dates/how long someone has been in a company position. For example, ""If there was a less or greater than “X Date”, that would be extremely beneficial.""",Help client more easily enroll learners based on their tenure.,
Capco LLC,Courses,They do not want to set a number of days for when a course renews. Instead they would like to just set an actual date that courses renew.,This is something they need to align with their government contracts. ,
Colorado State University - Bridge,Programs,Ability to re-enroll user in a completed Program.,Ability to send training to users again without using the auto re-enroll/expire feature (one off user needing to re-take the Program). Removes the need to create the same program to then enroll the user. ,
Enerbank USA,Reporting,"""We have all of our clients spread out over about 60 subaccounts (based on their business)—and its nearly impossible to get completion reports at a global level. We developed a script that downloads all of the data from bridge and identifies completion, but it is very cumbersome and a highly manual process. I would think an enterprise level LMS would have more robust native reporting functionality—it seems like all of the updates are UX/UI or new features, and not building out the basics of an LMS. Can you point me in the right direction? Is Bridge going to continue to be supported and be a future leader in business LMS’s? As it looks today, its having a hard time competing with other enterprise systems.""",More robust reporting for their accounts with completion reports. ,
C Space,1on1s - Performance Conversations,"C Space doesn't want to use PCs because they don't do scheduling all at the same time, but they'd like to see the collection of PCs regardless, so scheduling being the only way to see that data is a sticking place for them. ",More autonomy for HR and more help from Bridge to catch concerning things quickly.,
C Space,1on1s - Performance Conversations,There isn't enough easily visibility into PCs from an HR admin perspective. Going into the data export to get PC details isn't helpful or easy and the only way to grab old PCs now is by masquerading as downloading it. HR would like to more autonomously audit PCs for info they need to address rather than only going to search for PCs if they're notified of something concerning. ,More autonomy for HR and more help from Bridge to catch concerning things quickly.,
Brewer Science,Live Trainings,Admin would like to be able to Archive Live Trainings. ,"They sometimes ""retire"" a training blue print (they're no longer offering this course) and they don't want another Author to schedule a session, but they also don't want to only have access to the data via Data Dump.",
HelloFresh Canada,1on1s - Performance Conversations,They would like for Managers to have the PC insights reporting for their downstream reporting line like Admins have for all of Bridge.,Better continuity of PC history between their systems,
HelloFresh Canada,1on1s - Performance Conversations,They want the ability for Admins to download all PC PDFs in a zip file so they can add them to their HRIS system where all other PC historical data lives. ,Better continuity of PC history between their systems,
Ron Blue,User Management,Hire Date smart group logic,It's a pain for them to get new attributes and logic to get added to their HRIS but want to easily assign new hire training/content based on Hire Date,
MERS of Michigan,External Learning,Employees do external PD (e.g. multi-day conferences) and L&D would like a) a way for employees to report on this b) to be able to easily calculate the total number of hours that employees spend learning (courses + live trainings + conferences).,"L&D wants to track training hours that occurred outside of Bridge on Bridge to help demonstrate business need, demand for learning, ROI. ",
TCF/Chemical Bank,Live Trainings,Ability to register for more than 1 session of a live training at a time,Unsure of the why behind it (came from a support chat interaction) but wanted to log it. ,
Ronald Blue,Courses,They are asking for the ability to have half CE credits be accepted ,"Right now, Bridge only accepts full numbers but they have a number of half credit courses. Currently, the only option is to use a tag or put the CU amount in the course title. Neither really work well. ",
Bridge for Bridge,Timeline,"Creating a culture of recognition. It would be neat if when an Bridge employee is mentioned in bridge_gush (or any Slack channel used for employee recognition) that shoutout is added on the employees History/Timeline. Employees and managers would therefore be able to see recognitions not just from the manger and employee's 1:1, but other people in the company recognizing the value that employee provides.",Additional visibility into when and why someone was recognized.,
Cotiviti,Customization,"They ability to roll down branding changes from the Root to all sub-accounts in one motion. Currently, customer has to go in sub by sub and update any branding changes.  They were recently acquired, so this is now a very manual process. ","Manually copying down branding into Client sites, or Orgs within a business at scale is incredibly time consuming. Even small iterative changes, like colors-schemes, which would be more common than an acquisition, can be laborious. ",
